county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng
Natrona,Natrona,Natrona County,56025,WY,Wyoming,42.9622,-106.7985
Clearfield,Clearfield,Clearfield County,42033,PA,Pennsylvania,41,-78.4742
Lewis,Lewis,Lewis County,53041,WA,Washington,46.5778,-122.3927
Kosciusko,Kosciusko,Kosciusko County,18085,IN,Indiana,41.2441,-85.8607
Manitowoc,Manitowoc,Manitowoc County,55071,WI,Wisconsin,44.1199,-87.8097
Bedford,Bedford,Bedford County,51019,VA,Virginia,37.3152,-79.5242
Clinton,Clinton,Clinton County,26037,MI,Michigan,42.9437,-84.6015
Cape Girardeau,Cape Girardeau,Cape Girardeau County,29031,MO,Missouri,37.384,-89.6844
White,White,White County,5145,AR,Arkansas,35.2563,-91.7456
Putnam,Putnam,Putnam County,47141,TN,Tennessee,36.1408,-85.4952
Oconee,Oconee,Oconee County,45073,SC,South Carolina,34.7535,-83.0659
Floyd,Floyd,Floyd County,18043,IN,Indiana,38.3188,-85.907
Bulloch,Bulloch,Bulloch County,13031,GA,Georgia,32.3968,-81.7432
Yuba,Yuba,Yuba County,6115,CA,California,39.269,-121.3513
Umatilla,Umatilla,Umatilla County,41059,OR,Oregon,45.5919,-118.7369
Cayuga,Cayuga,Cayuga County,36011,NY,New York,42.9175,-76.5545
Ross,Ross,Ross County,39141,OH,Ohio,39.3376,-83.057
Cattaraugus,Cattaraugus,Cattaraugus County,36009,NY,New York,42.2486,-78.6788
Vermilion,Vermilion,Vermilion County,17183,IL,Illinois,40.1834,-87.7328
Chelan,Chelan,Chelan County,53007,WA,Washington,47.8692,-120.619
Cole,Cole,Cole County,29051,MO,Missouri,38.5054,-92.2816
Hancock,Hancock,Hancock County,18059,IN,Indiana,39.8236,-85.7732
Valencia,Valencia,Valencia County,35061,NM,New Mexico,34.7155,-106.809
Anderson,Anderson,Anderson County,47001,TN,Tennessee,36.1185,-84.1985
Clallam,Clallam,Clallam County,53009,WA,Washington,48.0493,-123.928
Cheshire,Cheshire,Cheshire County,33005,NH,New Hampshire,42.9194,-72.2512
James City,James City,James City County,51095,VA,Virginia,37.3288,-76.7789
Hancock,Hancock,Hancock County,39063,OH,Ohio,41.0019,-83.6665
Augusta,Augusta,Augusta County,51015,VA,Virginia,38.1644,-79.1339
Coryell,Coryell,Coryell County,48099,TX,Texas,31.3909,-97.7992
Lauderdale,Lauderdale,Lauderdale County,28075,MS,Mississippi,32.4043,-88.6626
Scioto,Scioto,Scioto County,39145,OH,Ohio,38.8039,-82.9929
Van Buren,Van Buren,Van Buren County,26159,MI,Michigan,42.2513,-86.0189
Sullivan,Sullivan,Sullivan County,36105,NY,New York,41.7164,-74.7681
Forrest,Forrest,Forrest County,28035,MS,Mississippi,31.1889,-89.2579
Monroe,Monroe,Monroe County,12087,FL,Florida,25.3185,-81.1087
Raleigh,Raleigh,Raleigh County,54081,WV,West Virginia,37.7714,-81.2487
Erie,Erie,Erie County,39043,OH,Ohio,41.3641,-82.6194
Riley,Riley,Riley County,20161,KS,Kansas,39.2966,-96.7352
Somerset,Somerset,Somerset County,42111,PA,Pennsylvania,39.9725,-79.0283
Putnam,Putnam,Putnam County,12107,FL,Florida,29.6086,-81.7443
Grays Harbor,Grays Harbor,Grays Harbor County,53027,WA,Washington,47.1502,-123.7736
Lonoke,Lonoke,Lonoke County,5085,AR,Arkansas,34.7543,-91.8888
Wood,Wood,Wood County,55141,WI,Wisconsin,44.4553,-90.0416
Chatham,Chatham,Chatham County,37037,NC,North Carolina,35.7026,-79.2553
Pottawatomie,Pottawatomie,Pottawatomie County,40125,OK,Oklahoma,35.2066,-96.9484
Walker,Walker,Walker County,48471,TX,Texas,30.739,-95.5723
McKinley,McKinley,McKinley County,35031,NM,New Mexico,35.5807,-108.2618
Kauai,Kauai,Kauai County,15007,HI,Hawaii,22.0398,-159.5966
Surry,Surry,Surry County,37171,NC,North Carolina,36.4146,-80.688
Apache,Apache,Apache County,4001,AZ,Arizona,35.3955,-109.4888
Creek,Creek,Creek County,40037,OK,Oklahoma,35.9026,-96.3708
Christian,Christian,Christian County,21047,KY,Kentucky,36.8942,-87.4904
DeKalb,DeKalb,DeKalb County,1049,AL,Alabama,34.4598,-85.8041
Walton,Walton,Walton County,12131,FL,Florida,30.6436,-86.1696
Allegany,Allegany,Allegany County,24001,MD,Maryland,39.6215,-78.6976
Madison,Madison,Madison County,36053,NY,New York,42.9128,-75.6697
Robertson,Robertson,Robertson County,47147,TN,Tennessee,36.5255,-86.8706
Columbia,Columbia,Columbia County,12023,FL,Florida,30.2242,-82.6215
Portage,Portage,Portage County,55097,WI,Wisconsin,44.476,-89.5014
Iberia,Iberia,Iberia Parish,22045,LA,Louisiana,29.8965,-91.7301
Greenwood,Greenwood,Greenwood County,45047,SC,South Carolina,34.1537,-82.1259
Franklin,Franklin,Franklin County,25011,MA,Massachusetts,42.5831,-72.5918
Jackson,Jackson,Jackson County,13157,GA,Georgia,34.1339,-83.5664
Isabella,Isabella,Isabella County,26073,MI,Michigan,43.6406,-84.8468
Lea,Lea,Lea County,35025,NM,New Mexico,32.7921,-103.4125
Fauquier,Fauquier,Fauquier County,51061,VA,Virginia,38.7387,-77.8092
Grand Forks,Grand Forks,Grand Forks County,38035,ND,North Dakota,47.9219,-97.4569
Morgan,Morgan,Morgan County,18109,IN,Indiana,39.4815,-86.4462
Troup,Troup,Troup County,13285,GA,Georgia,33.0335,-85.0283
Tooele,Tooele,Tooele County,49045,UT,Utah,40.4488,-113.1311
Broomfield,Broomfield,Broomfield County,8014,CO,Colorado,39.9542,-105.0526
Walker,Walker,Walker County,13295,GA,Georgia,34.7356,-85.301
Carteret,Carteret,Carteret County,37031,NC,North Carolina,34.8357,-76.6589
Greene,Greene,Greene County,47059,TN,Tennessee,36.1753,-82.8458
Ward,Ward,Ward County,38101,ND,North Dakota,48.2217,-101.5418
Lewis and Clark,Lewis and Clark,Lewis and Clark County,30049,MT,Montana,47.1224,-112.3905
Muskogee,Muskogee,Muskogee County,40101,OK,Oklahoma,35.6161,-95.3795
York,York,York County,51199,VA,Virginia,37.2431,-76.5635
Wilkes,Wilkes,Wilkes County,37193,NC,North Carolina,36.2062,-81.163
Jones,Jones,Jones County,28067,MS,Mississippi,31.6226,-89.1688
Shiawassee,Shiawassee,Shiawassee County,26155,MI,Michigan,42.9537,-84.1467
Jefferson,Jefferson,Jefferson County,5069,AR,Arkansas,34.2683,-91.9304
Franklin,Franklin,Franklin County,37069,NC,North Carolina,36.0828,-78.2857
Wise,Wise,Wise County,48497,TX,Texas,33.2159,-97.6545
Harrison,Harrison,Harrison County,54033,WV,West Virginia,39.2835,-80.3798
Klamath,Klamath,Klamath County,41035,OR,Oregon,42.6863,-121.6501
Aroostook,Aroostook,Aroostook County,23003,ME,Maine,46.6589,-68.5989
Belmont,Belmont,Belmont County,39013,OH,Ohio,40.0158,-80.9884
Blue Earth,Blue Earth,Blue Earth County,27013,MN,Minnesota,44.0346,-94.067
Catoosa,Catoosa,Catoosa County,13047,GA,Georgia,34.9036,-85.1382
Laurens,Laurens,Laurens County,45059,SC,South Carolina,34.4834,-82.0057
San Patricio,San Patricio,San Patricio County,48409,TX,Texas,28.0092,-97.5188
Williamson,Williamson,Williamson County,17199,IL,Illinois,37.7303,-88.9299
Butler,Butler,Butler County,20015,KS,Kansas,37.7813,-96.8391
Boone,Boone,Boone County,18011,IN,Indiana,40.0508,-86.4687
Darlington,Darlington,Darlington County,45031,SC,South Carolina,34.3325,-79.9577
Otero,Otero,Otero County,35035,NM,New Mexico,32.6132,-105.7414
Rutherford,Rutherford,Rutherford County,37161,NC,North Carolina,35.4026,-81.9198
St. Francois,St. Francois,St. Francois County,29187,MO,Missouri,37.8103,-90.4723
Rice,Rice,Rice County,27131,MN,Minnesota,44.3543,-93.2967
Harrison,Harrison,Harrison County,48203,TX,Texas,32.5481,-94.3715
Oldham,Oldham,Oldham County,21185,KY,Kentucky,38.3994,-85.4483
Marquette,Marquette,Marquette County,26103,MI,Michigan,46.4313,-87.6416
Wayne,Wayne,Wayne County,18177,IN,Indiana,39.8644,-85.0099
Grant,Grant,Grant County,18053,IN,Indiana,40.5158,-85.6547
Spalding,Spalding,Spalding County,13255,GA,Georgia,33.2609,-84.2841
Athens,Athens,Athens County,39009,OH,Ohio,39.3339,-82.0452
Jefferson,Jefferson,Jefferson County,39081,OH,Ohio,40.385,-80.761
Kershaw,Kershaw,Kershaw County,45055,SC,South Carolina,34.3388,-80.5902
Adams,Adams,Adams County,17001,IL,Illinois,39.9879,-91.1886
McCracken,McCracken,McCracken County,21145,KY,Kentucky,37.054,-88.7128
Columbia,Columbia,Columbia County,42037,PA,Pennsylvania,41.0486,-76.4052
Armstrong,Armstrong,Armstrong County,42005,PA,Pennsylvania,40.8121,-79.4646
Mason,Mason,Mason County,53045,WA,Washington,47.3484,-123.1928
Marion,Marion,Marion County,39101,OH,Ohio,40.5872,-83.1609
Nacogdoches,Nacogdoches,Nacogdoches County,48347,TX,Texas,31.616,-94.6159
Chaves,Chaves,Chaves County,35005,NM,New Mexico,33.3633,-104.4669
Pulaski,Pulaski,Pulaski County,21199,KY,Kentucky,37.1039,-84.5772
Crow Wing,Crow Wing,Crow Wing County,27035,MN,Minnesota,46.4824,-94.0709
Hamblen,Hamblen,Hamblen County,47063,TN,Tennessee,36.2171,-83.2667
Ionia,Ionia,Ionia County,26067,MI,Michigan,42.9451,-85.0746
Lake,Lake,Lake County,6033,CA,California,39.0996,-122.7532
Warren,Warren,Warren County,36113,NY,New York,43.561,-73.846
Tehama,Tehama,Tehama County,6103,CA,California,40.1257,-122.234
Coos,Coos,Coos County,41011,OR,Oregon,43.1742,-124.0594
Chippewa,Chippewa,Chippewa County,55017,WI,Wisconsin,45.0694,-91.2799
Sauk,Sauk,Sauk County,55111,WI,Wisconsin,43.4267,-89.9482
Starr,Starr,Starr County,48427,TX,Texas,26.5622,-98.7384
Clay,Clay,Clay County,27027,MN,Minnesota,46.8923,-96.4907
Carbon,Carbon,Carbon County,42025,PA,Pennsylvania,40.9182,-75.7088
Pope,Pope,Pope County,5115,AR,Arkansas,35.4478,-93.0345
